"","rab.all","rab.win.Fall","rab.win.Spring","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"371",4.62615685711066,5.12038896925064,4.35824413014772,-0.83477338539494,1.86464112098571,-0.413505491167296,0.30298974059455,4.31824406277291e-05,0.000552679111210797,0.00238042223581875,0.0124602270764283
"372",4.33881328492436,4.75621536047857,4.06102426497246,-0.758889061217448,1.91561638546826,-0.361777548545573,0.324107146190981,7.81890997832377e-05,0.000699600772761886,0.00447548049608215,0.0189817101789879
"392",-3.04164067393713,-2.39712819822789,-6.33964324705652,-3.16826485663516,6.08398589172193,-0.482175180983631,0.292857147010217,0.00186483209882721,0.00685607484167442,0.00155713929586625,0.00827187646088223
"397",4.50651422828538,5.03999719140539,4.19301970471925,-0.849044373965239,2.04306992135611,-0.385344771839165,0.324107146190981,6.39872991199913e-05,0.000630623746286395,0.0051093065837725,0.0207506594860288
"410",5.18737013174227,5.63492330985749,4.8132944383685,-0.845713324116126,2.22153846325585,-0.351073420647366,0.332589288845729,0.000312177622230012,0.00196916423784649,0.00811259099064529,0.0285841887186178
"413",1.57467315406167,1.80455435433198,1.19223740696376,-1.41689899647801,4.81016177166719,-0.272752795227432,0.326639896174651,0.00103048823597035,0.00472111771077984,0.00671496565252839,0.024974157163916
"414",4.3424441038808,4.99798274967393,3.76616417276423,-1.55650464079308,2.31267979666028,-0.630423461424058,0.209727807354448,6.23383320183024e-07,5.79872244667164e-05,4.13460753807706e-06,9.35963302284181e-05
"418",2.969778093196,3.13679765177054,2.82956223497785,-0.542146109314731,2.60277675544184,-0.189000278862212,0.369924143323559,0.00767357506201774,0.0218855483304299,0.0537969772880733,0.114944255878946
"419",3.17276876006556,3.41552832687083,2.92435980099731,-0.687562164971893,2.38166367930052,-0.28016070174028,0.325000003312178,0.00468936383734083,0.0131075398587678,0.0042031068601949,0.018149717179613
"420",2.83528211415446,3.10486762481153,2.68201154006806,-0.532678017041946,2.61536683139744,-0.181440898699641,0.373660716527087,0.00496573631388582,0.0152530429981402,0.0440489614626114,0.0986667641977521
"421",4.96719753091864,5.78232783140911,4.51787573590037,-1.07433190486359,1.97480774040849,-0.497823560205667,0.262382869885651,4.87265261479343e-06,0.000145924542164366,0.000241420823411908,0.00218432075761284
"426",4.40184936695315,5.1130533339309,3.63239763828707,-1.61973137909251,2.61679590563036,-0.603429367933786,0.228469439678881,1.46231251595903e-06,9.5849721296893e-05,1.22033836750551e-05,0.000222100052605056
"428",4.2075454579502,4.50549714947342,4.00595231520819,-0.459306005973275,1.33906205229349,-0.308830389579939,0.351785716984423,0.00188392718771673,0.00767588049266121,0.0190523778812612,0.0522009902010143
"433",3.25966373317334,3.6023187575767,3.15412345806042,-0.463458230686784,1.80023947268559,-0.212742498038512,0.399375280633536,0.0161548527329292,0.042474238984743,0.11838961996467,0.218012443134972
"437",4.6565499538549,5.2359820332691,4.19792363379763,-1.10435216966637,1.92235636488303,-0.53683213935706,0.246875005652669,2.87767732851276e-06,0.000127772251357986,8.23167162093603e-05,0.0010059337719029
"438",4.65374940593898,5.23016935072163,4.20223654142869,-1.05861903117212,1.95896396439221,-0.495454378719632,0.248549760158726,2.9400722658642e-06,0.000128519916968388,8.35155916874368e-05,0.00101254407335016
"443",3.10271833129082,3.42906233353824,3.00504472764966,-0.712305862232582,2.1921756573452,-0.287110866449626,0.370535716590399,0.0169945842171785,0.0439575678020987,0.0505970618252025,0.10972461171754
"446",4.45282371792786,4.99448574355028,4.09800672636994,-0.944685803885674,1.9205827694355,-0.446026031994205,0.281696433050976,1.79022648952909e-05,0.000327583360855951,0.00084677806423424,0.00560200180443839
"449",4.81025490185168,5.32046069385052,4.50302257396113,-0.728784213801396,1.90896537219576,-0.338490940437481,0.337349400608688,0.000227746223454786,0.00152577794786579,0.013494013442439,0.0406777295472746
